datasetID,dimensions
EMSO_OBSEA_NAXYS_SPL_full,row
NorEMSO_StationM,timeseries
NorEMSO_StationM,obs
NorEMSO_StationM,SENSOR_ID_strlen
NorEMSO_Svinoy_North,timeseries
NorEMSO_Svinoy_North,obs
NorEMSO_Svinoy_North,SENSOR_ID_strlen
NorEMSO_Svinoy_South,timeseries
NorEMSO_Svinoy_South,obs
NorEMSO_Svinoy_South,SENSOR_ID_strlen
W1M3A_deploy01,timeseries
W1M3A_deploy01,obs
W1M3A_deploy01,station_id_strlen
W1M3A_deploy03,timeseries
W1M3A_deploy03,obs
W1M3A_deploy03,station_id_strlen
W1M3A_deploy04,timeseries
W1M3A_deploy04,obs
W1M3A_deploy04,station_id_strlen
W1M3A_deploy05,timeseries
W1M3A_deploy05,obs
W1M3A_deploy05,station_id_strlen
W1M3A_deploy06,timeseries
W1M3A_deploy06,obs
W1M3A_deploy06,station_id_strlen
W1M3A_deploy07,timeseries
W1M3A_deploy07,obs
W1M3A_deploy07,station_id_strlen
EMSO_OBSEA_AWAC_waves_full,row
