Property,Count,Types,Example
configurations.missionCycles.59,2028,list,['59']
configurations.missionCycles.16,2863,list,"['35', '39']"
configurations.missionCycles.17,2803,list,['37']
configurations.missionCycles.18,2747,list,"['40', '43', '45']"
configurations.missionCycles.19,2691,list,"['41', '42']"
configurations.missionCycles.6,4306,list,['6']
configurations.missionCycles.7,3939,list,['7']
configurations.missionCycles.8,3681,list,['8']
configurations.missionCycles.9,3529,list,['9']
configurations.missionCycles.60,2013,list,['60']
configurations.missionCycles.61,2003,list,['61']
configurations.missionCycles.62,1965,list,['62']
configurations.missionCycles.63,1962,list,['63']
configurations.missionCycles.20,2660,list,['44']
configurations.missionCycles.64,1945,list,['64']
configurations.missionCycles.21,2617,list,"['46', '47']"
configurations.missionCycles.65,1925,list,['65']
configurations.missionCycles.22,2574,list,"['58', '62', '66', '84']"
configurations.missionCycles.66,1936,list,['66']
configurations.missionCycles.23,2545,list,"['60', '86', '90', '94', '104']"
configurations.missionCycles.67,1928,list,['67']
configurations.missionCycles.24,2526,list,"['61', '63', '65', '69', '71', '72', '74', '75', '77', '81', '83', '87']"
configurations.missionCycles.68,1913,list,['68']
configurations.missionCycles.25,2503,list,"['67', '79', '85', '89', '91', '93', '95', '97', '98', '100', '101']"
configurations.missionCycles.69,1915,list,['69']
configurations.missionCycles.26,2467,list,['78']
configurations.missionCycles.27,2443,list,['80']
configurations.missionCycles.28,2405,list,['82']
configurations.missionCycles.29,2396,list,"['123', '125', '127', '129']"
configurations.missionCycles.70,1922,list,['70']
configurations.missionCycles.71,1918,list,['71']
configurations.missionCycles.72,1909,list,['72']
configurations.missionCycles.73,1906,list,['73']
configurations.missionCycles.30,2374,list,"['82', '88', '92', '94', '96', '97', '99', '101', '103', '105', '107', '109', '111', '113', '115', '116', '118', '120', '122', '124', '126', '128', '130', '132', '134', '136', '138', '140', '142', '143', '144', '145']"
configurations.missionCycles.31,2352,list,"['85', '89', '93', '100', '104', '108', '112', '123', '127', '131', '135', '139']"
configurations.missionCycles.32,2333,list,"['87', '91', '95', '98', '102', '106', '110', '114', '121', '125', '129', '133', '141']"
configurations.missionCycles.33,2322,list,['90']
configurations.missionCycles.34,2308,list,"['117', '137']"
configurations.missionCycles.35,2289,list,['119']
configurations.missionCycles.36,2265,list,['101']
configurations.missionCycles.37,2248,list,['111']
configurations.missionCycles.38,2244,list,['112']
configurations.missionCycles.39,2232,list,['113']
configurations.missionCycles.40,2221,list,"['136', '135', '139', '141', '138']"
configurations.missionCycles.41,2220,list,"['142', '137', '140']"
configurations.missionCycles.42,2197,list,['143']
configurations.missionCycles.43,2195,list,['144']
configurations.missionCycles.0,83,list,['0']
configurations.missionCycles.230,693,list,['230']
configurations.missionCycles.110,1609,list,['110']
configurations.missionCycles.231,690,list,['231']
configurations.missionCycles.111,1611,list,['111']
configurations.missionCycles.232,682,list,['232']
configurations.missionCycles.112,1608,list,['112']
configurations.missionCycles.233,677,list,['233']
configurations.missionCycles.113,1609,list,['113']
configurations.missionCycles.234,666,list,['234']
configurations.missionCycles.114,1598,list,['114']
configurations.missionCycles.235,660,list,['235']
configurations.missionCycles.115,1583,list,['115']
configurations.missionCycles.236,658,list,['236']
configurations.missionCycles.116,1589,list,['116']
configurations.missionCycles.237,654,list,['237']
configurations.missionCycles.117,1572,list,['117']
configurations.missionCycles.238,652,list,['238']
configurations.missionCycles.118,1570,list,['118']
configurations.missionCycles.239,650,list,['239']
configurations.missionCycles.119,1575,list,['119']
configurations.missionCycles.240,653,list,['240']
configurations.missionCycles.120,1568,list,['120']
configurations.missionCycles.241,643,list,['241']
configurations.missionCycles.121,1558,list,['121']
configurations.missionCycles.242,642,list,['242']
configurations.missionCycles.122,1550,list,['122']
configurations.missionCycles.243,642,list,['243']
configurations.missionCycles.123,1551,list,['123']
configurations.missionCycles.244,636,list,['244']
configurations.missionCycles.124,1514,list,['124']
configurations.missionCycles.245,629,list,['245']
configurations.missionCycles.125,1507,list,['125']
configurations.missionCycles.246,617,list,['246']
configurations.missionCycles.126,1506,list,['126']
configurations.missionCycles.247,599,list,['247']
configurations.missionCycles.127,1506,list,['127']
configurations.missionCycles.248,587,list,['248']
configurations.missionCycles.128,1506,list,['128']
configurations.missionCycles.249,571,list,['249']
configurations.missionCycles.129,1508,list,['129']
configurations.missionCycles.250,556,list,['250']
configurations.missionCycles.130,1496,list,['130']
configurations.missionCycles.251,547,list,['251']
configurations.missionCycles.131,1473,list,['131']
configurations.missionCycles.252,531,list,['252']
configurations.missionCycles.132,1474,list,['132']
configurations.missionCycles.253,524,list,['253']
configurations.missionCycles.133,1461,list,['133']
configurations.missionCycles.254,509,list,['254']
configurations.missionCycles.134,1458,list,['134']
configurations.missionCycles.255,495,list,['255']
configurations.missionCycles.135,1458,list,['135']
configurations.missionCycles.256,492,list,['256']
configurations.missionCycles.136,1454,list,['136']
configurations.missionCycles.257,479,list,['257']
configurations.missionCycles.137,1446,list,['137']
configurations.missionCycles.258,470,list,['258']
configurations.missionCycles.138,1425,list,['138']
configurations.missionCycles.259,461,list,['259']
configurations.missionCycles.139,1411,list,['139']
configurations.missionCycles.260,457,list,['260']
configurations.missionCycles.140,1420,list,['140']
configurations.missionCycles.261,450,list,['261']
configurations.missionCycles.141,1401,list,['141']
configurations.missionCycles.262,439,list,['262']
configurations.missionCycles.142,1387,list,['142']
configurations.missionCycles.263,428,list,['263']
configurations.missionCycles.143,1400,list,['143']
configurations.missionCycles.264,423,list,['264']
configurations.missionCycles.144,1384,list,['144']
configurations.missionCycles.265,421,list,['265']
configurations.missionCycles.145,1379,list,['145']
configurations.missionCycles.266,406,list,['266']
configurations.missionCycles.146,1371,list,['146']
configurations.missionCycles.267,397,list,['267']
configurations.missionCycles.147,1374,list,['147']
configurations.missionCycles.268,386,list,['268']
configurations.missionCycles.148,1353,list,['148']
configurations.missionCycles.269,375,list,['269']
configurations.missionCycles.149,1347,list,['149']
configurations.missionCycles.270,369,list,['270']
configurations.missionCycles.150,1343,list,['150']
configurations.missionCycles.271,350,list,['271']
configurations.missionCycles.151,1331,list,['151']
configurations.missionCycles.272,357,list,['272']
configurations.missionCycles.152,1312,list,['152']
configurations.missionCycles.273,347,list,['273']
configurations.missionCycles.274,339,list,['274']
configurations.missionCycles.154,1288,list,['154']
configurations.missionCycles.275,333,list,['275']
configurations.missionCycles.155,1287,list,['155']
configurations.missionCycles.276,323,list,['276']
configurations.missionCycles.156,1276,list,['156']
configurations.missionCycles.277,307,list,['277']
configurations.missionCycles.157,1281,list,['157']
configurations.missionCycles.278,302,list,['278']
configurations.missionCycles.158,1271,list,['158']
configurations.missionCycles.279,296,list,['279']
