datasetID,globalattributes
E2M3A_SBE16PLS,source_platform_category_code
E2M3A_SBE16PLS,sourceUrl
E2M3A_SBE16PLS,Southernmost_Northing
E2M3A_SBE16PLS,standard_name_vocabulary
E2M3A_SBE16PLS,summary
E2M3A_SBE16PLS,time_coverage_end
E2M3A_SBE16PLS,time_coverage_start
E2M3A_SBE16PLS,title
E2M3A_SBE16PLS,update_interval
E2M3A_SBE16PLS,Westernmost_Easting
E2M3A_SBE16PLS,wmo_platform_code
E2M3A_SBE37O,cdm_data_type
E2M3A_SBE37O,cdm_timeseries_variables
E2M3A_SBE37O,Conventions
E2M3A_SBE37O,creator_email
E2M3A_SBE37O,creator_type
E2M3A_SBE37O,creator_url
E2M3A_SBE37O,data_mode
E2M3A_SBE37O,data_type
E2M3A_SBE37O,date_created
E2M3A_SBE37O,Easternmost_Easting
E2M3A_SBE37O,emso_facility
E2M3A_SBE37O,featureType
E2M3A_SBE37O,format_version
E2M3A_SBE37O,geospatial_lat_max
E2M3A_SBE37O,geospatial_lat_min
E2M3A_SBE37O,geospatial_lat_units
E2M3A_SBE37O,geospatial_lon_max
E2M3A_SBE37O,geospatial_lon_min
E2M3A_SBE37O,geospatial_lon_units
E2M3A_SBE37O,geospatial_vertical_max
E2M3A_SBE37O,geospatial_vertical_min
E2M3A_SBE37O,geospatial_vertical_positive
E2M3A_SBE37O,geospatial_vertical_units
E2M3A_SBE37O,history
E2M3A_SBE37O,id
E2M3A_SBE37O,infoUrl
E2M3A_SBE37O,institution
E2M3A_SBE37O,institution_edmo_code
E2M3A_SBE37O,institution_edmo_uri
E2M3A_SBE37O,keywords
E2M3A_SBE37O,keywords_vocabulary
E2M3A_SBE37O,license
E2M3A_SBE37O,license_uri
E2M3A_SBE37O,network
E2M3A_SBE37O,Northernmost_Northing
E2M3A_SBE37O,platform_code
E2M3A_SBE37O,principal_investigator
E2M3A_SBE37O,principal_investigator_email
E2M3A_SBE37O,site_code
E2M3A_SBE37O,source
E2M3A_SBE37O,source_platform_category_code
E2M3A_SBE37O,sourceUrl
E2M3A_SBE37O,Southernmost_Northing
E2M3A_SBE37O,standard_name_vocabulary
E2M3A_SBE37O,summary
E2M3A_SBE37O,time_coverage_end
E2M3A_SBE37O,time_coverage_start
E2M3A_SBE37O,title
E2M3A_SBE37O,update_interval
E2M3A_SBE37O,Westernmost_Easting
E2M3A_SBE37O,wmo_platform_code
E2M3A_CTD_meteo_CO2_pH_NRT,cdm_data_type
E2M3A_CTD_meteo_CO2_pH_NRT,cdm_timeseries_variables
E2M3A_CTD_meteo_CO2_pH_NRT,Conventions
E2M3A_CTD_meteo_CO2_pH_NRT,creator_email
E2M3A_CTD_meteo_CO2_pH_NRT,creator_type
E2M3A_CTD_meteo_CO2_pH_NRT,creator_url
E2M3A_CTD_meteo_CO2_pH_NRT,data_mode
E2M3A_CTD_meteo_CO2_pH_NRT,data_type
E2M3A_CTD_meteo_CO2_pH_NRT,date_created
E2M3A_CTD_meteo_CO2_pH_NRT,Easternmost_Easting
E2M3A_CTD_meteo_CO2_pH_NRT,emso_facility
E2M3A_CTD_meteo_CO2_pH_NRT,featureType
E2M3A_CTD_meteo_CO2_pH_NRT,format_version
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_lat_max
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_lat_min
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_lat_units
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_lon_max
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_lon_min
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_lon_units
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_vertical_max
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_vertical_min
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_vertical_positive
E2M3A_CTD_meteo_CO2_pH_NRT,geospatial_vertical_units
E2M3A_CTD_meteo_CO2_pH_NRT,history
E2M3A_CTD_meteo_CO2_pH_NRT,id
E2M3A_CTD_meteo_CO2_pH_NRT,infoUrl
E2M3A_CTD_meteo_CO2_pH_NRT,institution
E2M3A_CTD_meteo_CO2_pH_NRT,institution_edmo_code
E2M3A_CTD_meteo_CO2_pH_NRT,institution_edmo_uri
E2M3A_CTD_meteo_CO2_pH_NRT,keywords
