DatasetID,Variable Name,Data Type,Value
OS_ESTOC_2000_D_SEDIMENT_TRAP_CI_13_1050m,time,['double'],"['nValues=2, evenlySpaced=true, averageSpacing=19 days']"
OS_ESTOC_2000_D_SEDIMENT_TRAP_CI_13_3060m,time,['double'],"['nValues=19, evenlySpaced=true, averageSpacing=19 days']"
OS_ESTOC_2000_D_SEDIMENT_TRAP_CI_13_750m,time,['double'],"['nValues=19, evenlySpaced=true, averageSpacing=19 days']"
OS_ESTOC_2001_D_SEDIMENT_TRAP_CI_14_1050m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=19 days 5h 3m 9s']"
OS_ESTOC_2001_D_SEDIMENT_TRAP_CI_14_3060m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=19 days 5h 3m 9s']"
OS_ESTOC_2003_D_SEDIMENT_TRAP_CI_16_1050m,time,['double'],"['nValues=3, evenlySpaced=true, averageSpacing=18 days']"
OS_ESTOC_2003_D_SEDIMENT_TRAP_CI_16_3060m,time,['double'],"['nValues=20, evenlySpaced=true, averageSpacing=18 days']"
OS_ESTOC_2003_D_SEDIMENT_TRAP_MSD1_3630m,time,['double'],"['nValues=40, evenlySpaced=true, averageSpacing=9 days']"
OS_ESTOC_2004_D_SEDIMENT_TRAP_CI_17_1050m,time,['double'],"['nValues=20, evenlySpaced=true, averageSpacing=15 days']"
OS_ESTOC_2004_D_SEDIMENT_TRAP_CI_17_3060m,time,['double'],"['nValues=20, evenlySpaced=true, averageSpacing=15 days']"
OS_ESTOC_2004_D_SEDIMENT_TRAP_CI_17_750m,time,['double'],"['nValues=20, evenlySpaced=true, averageSpacing=15 days']"
OS_ESTOC_2004_D_SEDIMENT_TRAP_MSD2_3630m,time,['double'],"['nValues=40, evenlySpaced=false, averageSpacing=7 days 4h 55m 23s']"
OS_ESTOC_2004_D_SEDIMENT_TRAP_MSD3_3060m,time,['double'],"['nValues=30, evenlySpaced=false, averageSpacing=7 days 11h 35m 10s']"
OS_ESTOC_2005_D_SEDIMENT_TRAP_CI_18_1050m,time,['double'],"['nValues=7, evenlySpaced=true, averageSpacing=15 days']"
OS_ESTOC_2005_D_SEDIMENT_TRAP_CI_18_3060m,time,['double'],"['nValues=17, evenlySpaced=true, averageSpacing=15 days']"
OS_ESTOC_2005_D_SEDIMENT_TRAP_CI_18_750m,time,['double'],"['nValues=17, evenlySpaced=true, averageSpacing=15 days']"
OS_ESTOC_2005_D_SEDIMENT_TRAP_MSD4_3060m,time,['double'],"['nValues=11, evenlySpaced=false, averageSpacing=7 days 12h 0m 0s']"
OS_ESTOC_2005_D_SEDIMENT_TRAP_MSD5_750m,time,['double'],"['nValues=40, evenlySpaced=true, averageSpacing=6 days']"
OS_ESTOC_2006_D_SEDIMENT_TRAP_CI_19_1050m,time,['double'],"['nValues=7, evenlySpaced=false, averageSpacing=12 days 16h 0m 0s']"
OS_ESTOC_2006_D_SEDIMENT_TRAP_CI_19_3060m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=4 days 11h 22m 6s']"
OS_ESTOC_2006_D_SEDIMENT_TRAP_CI_19_750m,time,['double'],"['nValues=4, evenlySpaced=false, averageSpacing=22 days 8h 0m 0s']"
OS_ESTOC_2007_D_SEDIMENT_TRAP_CI_20_1050m,time,['double'],"['nValues=15, evenlySpaced=false, averageSpacing=23 days 13h 42m 51s']"
OS_ESTOC_2007_D_SEDIMENT_TRAP_CI_20_750m,time,['double'],"['nValues=17, evenlySpaced=true, averageSpacing=22 days']"
OS_ESTOC_2008_D_SEDIMENT_TRAP_CI_21_750m,time,['double'],"['nValues=17, evenlySpaced=false, averageSpacing=22 days 13h 30m 0s']"
OS_ESTOC_2009_D_SEDIMENT_TRAP_CI_22_1050m,time,['double'],"['nValues=14, evenlySpaced=false, averageSpacing=19 days 14h 46m 9s']"
OS_ESTOC_2009_D_SEDIMENT_TRAP_CI_22_750m,time,['double'],"['nValues=14, evenlySpaced=false, averageSpacing=19 days 14h 46m 9s']"
OS_ESTOC_2014_D_CTD-FIXO3-surface,depth,['float'],"['nValues=1, onlyValue=1.0']"
OS_ESTOC_2014_D_CTD-FIXO3-surface,time,['double'],"['nValues=26317, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_2014_D_SST-PSAL-DOXI-CPHL-TURB_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC_2014_D_SST-PSAL-DOXI-CPHL-TURB_FixO3-surface,time,['double'],"['nValues=4866, evenlySpaced=false, averageSpacing=1h 0m 4s']"
OS_ESTOC_2014_D_pH_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_2014_D_pH_FixO3-surface,time,['double'],"['nValues=300, evenlySpaced=false, averageSpacing=11h 21m 22s']"
OS_ESTOC_201505_D_ADCP_FixO3_80mUpward,depth,['float'],"['nValues=16, evenlySpaced=true, averageSpacing=5.0']"
OS_ESTOC_201505_D_ADCP_FixO3_80mUpward,time,['double'],"['nValues=3095, evenlySpaced=false, averageSpacing=1h 0m 0s']"
OS_ESTOC_201505_D_FLNTU-FIX03-100m,depth,['float'],"['nValues=1, onlyValue=100.0']"
OS_ESTOC_201505_D_FLNTU-FIX03-100m,time,['double'],"['nValues=12394, evenlySpaced=false, averageSpacing=15m 1s']"
OS_ESTOC_201505_D_FLNTU_FixO3-100m,depth,['float'],"['nValues=1, onlyValue=100.0']"
OS_ESTOC_201505_D_FLNTU_FixO3-100m,time,['double'],"['nValues=12394, evenlySpaced=false, averageSpacing=15m 1s']"
OS_ESTOC_201510_D_ADCP_FixO3_80mUpward,depth,['float'],"['nValues=16, evenlySpaced=true, averageSpacing=5.0']"
OS_ESTOC_201510_D_ADCP_FixO3_80mUpward,time,['double'],"['nValues=5484, evenlySpaced=false, averageSpacing=1h 0m 3s']"
OS_ESTOC_201510_D_CTD-FixO3-100m,depth,['float'],"['nValues=1, onlyValue=100.0']"
OS_ESTOC_201510_D_CTD-FixO3-100m,time,['double'],"['nValues=21878, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_201510_D_CTD-P3,depth,['double'],"['nValues=3653, evenlySpaced=false, averageSpacing=0.9847418294085433']"
OS_ESTOC_201510_D_CTD-P3,time,['double'],"['nValues=1, onlyValue=2015-10-24T03:05:45Z']"
OS_ESTOC_2015_D_CTD-FIXO3-surface,depth,['float'],"['nValues=1, onlyValue=1.0']"
OS_ESTOC_2015_D_CTD-FIXO3-surface,time,['double'],"['nValues=21890, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_2015_D_SST-PSAL-DOXI-CPHL-TURB_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC_2015_D_SST-PSAL-DOXI-CPHL-TURB_FixO3-surface,time,['double'],"['nValues=18540, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC_2015_D_SST-PSAL-DOXI-DOXITEMP-CPHL_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_2015_D_SST-PSAL-DOXI-DOXITEMP-CPHL_FixO3-surface,time,['double'],"['nValues=32833, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC_2015_D_pH_FixO3-surface-1,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_2015_D_pH_FixO3-surface-1,time,['double'],"['nValues=218, evenlySpaced=false, averageSpacing=14h 6m 6s']"
OS_ESTOC_2015_D_pH_FixO3-surface-2,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_2015_D_pH_FixO3-surface-2,time,['double'],"['nValues=341, evenlySpaced=false, averageSpacing=16h 1m 25s']"
OS_ESTOC_201609_D_CTD-DO-FIX03-80m,depth,['float'],"['nValues=1, onlyValue=80.0']"
OS_ESTOC_201609_D_CTD-DO-FIX03-80m,time,['double'],"['nValues=5462, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_201610_D_ADCP_FixO3_100mUpward,depth,['float'],"['nValues=16, evenlySpaced=true, averageSpacing=5.0']"
OS_ESTOC_201610_D_ADCP_FixO3_100mUpward,time,['double'],"['nValues=1258, evenlySpaced=false, averageSpacing=1h 0m 0s']"
OS_ESTOC_201610_D_ADCP_FixO3_80mUpward,depth,['float'],"['nValues=16, evenlySpaced=true, averageSpacing=5.0']"
